	25	98	4	18 144
 
	0	0	0	0	1000	0	0	0	1000	0
	1000	0	0	0	0	0	0	0	1000	0	0	0
	0	1000	0	1000	0	0	0	0	0	0	0
	1000	0	0	0	0	1000	0	1000
	0	0	0	0	0	0	0	1000	0	0	0	0	1000
	0	1000	0	0	0	0	0	0	0	1000	0	0
	0	0	1000	0	1000	0	0	0	0	0	0	0
	1000	0	0	0	0	1000	0	1000
	0	1000	0	1000	0	1000	0
	1000	0	1000	0	1000
	0	0	0	0	1000	0	0	0	1000	0
	1000	0	0	0	0	0	0	0	1000	0	0	0
	0	1000	0	1000	0	0	0	0	0	0	0
	1000	0	0	0	0	1000	0	1000
	0	0	0	0	0	0	0	1000	0	0	0	0	1000
	0	1000	0	0	0	0	0	0	0	1000	0	0
	0	0	1000	0	1000	0	0	0	0	0	0	0
	1000	0	0	0	0	1000	0	1000
	0	1000	0	1000	0	1000	0
	1000	0	1000	0	1000
	0	0	0	0	1000	0	0	0	1000	0
	1000	0	0	0	0	0	0	0	1000	0	0	0
	0	1000	0	1000	0	0	0	0	0	0	0
	1000	0	0	0	0	1000	0	1000
	0	0	0	0	0	0	0	1000	0	0	0	0	1000
	0	1000	0	0	0	0	0	0	0	1000	0	0
	0	0	1000	0	1000	0	0	0	0	0	0	0
	1000	0	0	0	0	1000	0	1000
	0	1000	0	1000	0	1000	0
	1000	0	1000	0	1000
	0	0	0	0	1000	0	0	0	1000	0
	1000	0	0	0	0	0	0	0	1000	0	0	0
	0	1000	0	1000	0	0	0	0	0	0	0
	1000	0	0	0	0	1000	0	1000
	0	0	0	0	0	0	0	1000	0	0	0	0	1000
	0	1000	0	0	0	0	0	0	0	1000	0	0
	0	0	1000	0	1000	0	0	0	0	0	0	0
	1000	0	0	0	0	1000	0	1000
	0	1000	0	1000	0	1000	0
	1000	0	1000	0	1000
 
	134.136	116.640	97.2000	149.040
	1490.40	104.9760	87.4800	107.9999568
	1079.9999568000	100.7640	93.3120	1176.00
	250.3872	13.	217.728	181.440
	46.	278.208	2782.08	195.9552
	163.296	2604.00	201.59991936000	2015.9999193600
	188.0928	174.1824	1176.00	277.2144
	13.	241.056	200.880	46.
	308.016	3080.16	216.9504	180.792
	2604.00	223.19991072000	2231.9999107200	208.2456
	192.8448	1176.00	268.272	13.
	233.280	194.400	46.	298.080
	2980.80	209.952	174.960	2604.00
	215.9999136	2159.9999136000	201.528	186.624
	1176.00	277.2144	13.	241.056
	200.880	46.	308.016	3080.16
	216.9504	180.792	2604.00	223.19991072000
	2231.9999107200	208.2456	192.8448	1176.00
	268.272	13.	233.280	194.400
	46.	298.080	2980.80	209.952
	174.960	2604.00	215.9999136	2159.9999136000
	201.528	186.624	421.919928	364.538880
	787.5838656	680.472576	871.9678512	753.380352
	843.839856	729.077760	871.9678512	753.380352
	843.839856	729.077760
	134.136	116.640	97.2000	149.040
	1490.40	104.9760	87.4800	107.9999568
	1079.9999568000	100.7640	93.3120	1176.00
	250.3872	13.	217.728	181.440
	46.	278.208	2782.08	195.9552
	163.296	2604.00	201.59991936000	2015.9999193600
	188.0928	174.1824	1176.00	277.2144
	13.	241.056	200.880	46.
	308.016	3080.16	216.9504	180.792
	2604.00	223.19991072000	2231.9999107200	208.2456
	192.8448	1176.00	268.272	13.
	233.280	194.400	46.	298.080
	2980.80	209.952	174.960	2604.00
	215.9999136	2159.9999136000	201.528	186.624
	1176.00	277.2144	13.	241.056
	200.880	46.	308.016	3080.16
	216.9504	180.792	2604.00	223.19991072000
	2231.9999107200	208.2456	192.8448	1176.00
	268.272	13.	233.280	194.400
	46.	298.080	2980.80	209.952
	174.960	2604.00	215.9999136	2159.9999136000
	201.528	186.624	421.919928	364.538880
	787.5838656	680.472576	871.9678512	753.380352
	843.839856	729.077760	871.9678512	753.380352
	843.839856	729.077760
	134.136	116.640	97.2000	149.040
	1490.40	104.9760	87.4800	107.9999568
	1079.9999568000	100.7640	93.3120	1176.00
	250.3872	13.	217.728	181.440
	46.	278.208	2782.08	195.9552
	163.296	2604.00	201.59991936000	2015.9999193600
	188.0928	174.1824	1176.00	277.2144
	13.	241.056	200.880	46.
	308.016	3080.16	216.9504	180.792
	2604.00	223.19991072000	2231.9999107200	208.2456
	192.8448	1176.00	268.272	13.
	233.280	194.400	46.	298.080
	2980.80	209.952	174.960	2604.00
	215.9999136	2159.9999136000	201.528	186.624
	1176.00	277.2144	13.	241.056
	200.880	46.	308.016	3080.16
	216.9504	180.792	2604.00	223.19991072000
	2231.9999107200	208.2456	192.8448	1176.00
	268.272	13.	233.280	194.400
	46.	298.080	2980.80	209.952
	174.960	2604.00	215.9999136	2159.9999136000
	201.528	186.624	421.919928	364.538880
	787.5838656	680.472576	871.9678512	753.380352
	843.839856	729.077760	871.9678512	753.380352
	843.839856	729.077760
	134.136	116.640	97.2000	149.040
	1490.40	104.9760	87.4800	107.9999568
	1079.9999568000	100.7640	93.3120	1176.00
	250.3872	13.	217.728	181.440
	46.	278.208	2782.08	195.9552
	163.296	2604.00	201.59991936000	2015.9999193600
	188.0928	174.1824	1176.00	277.2144
	13.	241.056	200.880	46.
	308.016	3080.16	216.9504	180.792
	2604.00	223.19991072000	2231.9999107200	208.2456
