	37	117	4	2	4

	0	1000	0	0	1000	0	0	0	1000
	0	0	0	1000	0	0	0	1000	0	0	0
	1000	0	0	0	1000	0	0	0	1000
	0	0	0	1000	0	0	0	1000	0	0	0
	1000	0	0	0	1000	0	0	0	1000
	0	0	0	1000	0	0	0	1000	0	0	0
	1000	0	0	0	1000	0	0	0	1000
	0	0	0	1000	0	0	0	1000	0	0	0
	1000	0	0	0	1000	0	0	0	1000
	0	0	0	1000	0	1000	0	1000
	0	1000	0	1000	0	1000	0
	1000	0	1000	0	1000	0
	1000	0	1000	0	1000	0
	1000
	0	1000	0	0	1000	0	0	0	1000
	0	0	0	1000	0	0	0	1000	0	0	0
	1000	0	0	0	1000	0	0	0	1000
	0	0	0	1000	0	0	0	1000	0	0	0
	1000	0	0	0	1000	0	0	0	1000
	0	0	0	1000	0	0	0	1000	0	0	0
	1000	0	0	0	1000	0	0	0	1000
	0	0	0	1000	0	0	0	1000	0	0	0
	1000	0	0	0	1000	0	0	0	1000
	0	0	0	1000	0	1000	0	1000
	0	1000	0	1000	0	1000	0
	1000	0	1000	0	1000	0
	1000	0	1000	0	1000	0
	1000
	0	1000	0	0	1000	0	0	0	1000
	0	0	0	1000	0	0	0	1000	0	0	0
	1000	0	0	0	1000	0	0	0	1000
	0	0	0	1000	0	0	0	1000	0	0	0
	1000	0	0	0	1000	0	0	0	1000
	0	0	0	1000	0	0	0	1000	0	0	0
	1000	0	0	0	1000	0	0	0	1000
	0	0	0	1000	0	0	0	1000	0	0	0
	1000	0	0	0	1000	0	0	0	1000
	0	0	0	1000	0	1000	0	1000
	0	1000	0	1000	0	1000	0
	1000	0	1000	0	1000	0
	1000	0	1000	0	1000	0
	1000
	0	1000	0	0	1000	0	0	0	1000
	0	0	0	1000	0	0	0	1000	0	0	0
	1000	0	0	0	1000	0	0	0	1000
	0	0	0	1000	0	0	0	1000	0	0	0
	1000	0	0	0	1000	0	0	0	1000
	0	0	0	1000	0	0	0	1000	0	0	0
	1000	0	0	0	1000	0	0	0	1000
	0	0	0	1000	0	0	0	1000	0	0	0
	1000	0	0	0	1000	0	0	0	1000
	0	0	0	1000	0	1000	0	1000
	0	1000	0	1000	0	1000	0
	1000	0	1000	0	1000	0
	1000	0	1000	0	1000	0
	1000

	374.976	5356.8	160.704	267.84
	5356.8	239	980	362.88
	5184.0	130	155.52	259.20
	5184.0	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	338.688
	4838.4	130	145.152	241.92
	4838.4	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	362.88
	5184.0	130	155.52	259.20
	5184.0	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	362.88
	5184.0	130	155.52	259.20
	5184.0	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	362.88
	5184.0	130	155.52	259.20
	5184.0	1071.36	3615.84	1036.8
	3499.2	1071.36	3615.84	1071.36
	3615.84	967.68	3265.92	1071.36
	3615.84	1036.8	3499.2	1071.36
	3615.84	1036.8	3499.2	1071.36
	3615.84	1071.36	3615.84	1036.8
	3499.2
	374.976	5356.8	160.704	267.84
	5356.8	239	980	362.88
	5184.0	130	155.52	259.20
	5184.0	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	338.688
	4838.4	130	145.152	241.92
	4838.4	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	362.88
	5184.0	130	155.52	259.20
	5184.0	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	362.88
	5184.0	130	155.52	259.20
	5184.0	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	362.88
	5184.0	130	155.52	259.20
	5184.0	1071.36	3615.84	1036.8
	3499.2	1071.36	3615.84	1071.36
	3615.84	967.68	3265.92	1071.36
	3615.84	1036.8	3499.2	1071.36
	3615.84	1036.8	3499.2	1071.36
	3615.84	1071.36	3615.84	1036.8
	3499.2
	374.976	5356.8	160.704	267.84
	5356.8	239	980	362.88
	5184.0	130	155.52	259.20
	5184.0	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	338.688
	4838.4	130	145.152	241.92
	4838.4	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	362.88
	5184.0	130	155.52	259.20
	5184.0	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	362.88
	5184.0	130	155.52	259.20
	5184.0	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	362.88
	5184.0	130	155.52	259.20
	5184.0	1071.36	3615.84	1036.8
	3499.2	1071.36	3615.84	1071.36
	3615.84	967.68	3265.92	1071.36
	3615.84	1036.8	3499.2	1071.36
	3615.84	1036.8	3499.2	1071.36
	3615.84	1071.36	3615.84	1036.8
	3499.2
	374.976	5356.8	160.704	267.84
	5356.8	239	980	362.88
	5184.0	130	155.52	259.20
	5184.0	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	338.688
	4838.4	130	145.152	241.92
	4838.4	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	362.88
	5184.0	130	155.52	259.20
	5184.0	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	362.88
	5184.0	130	155.52	259.20
	5184.0	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	374.976
	5356.8	130	160.704	267.84
	5356.8	239	980	362.88
	5184.0	130	155.52	259.20
	5184.0	1071.36	3615.84	1036.8
	3499.2	1071.36	3615.84	1071.36
	3615.84	967.68	3265.92	1071.36
	3615.84	1036.8	3499.2	1071.36
	3615.84	1036.8	3499.2	1071.36
	3615.84	1071.36	3615.84	1036.8
	3499.2

	54.7136	80.3568	-12.3216	20.736
	10.3680	5.1840	99.1008	40.176
	21.4272	133.92	53.568	26.784
	145.152	96.768	48.384	107.136
	53.568	26.784	77.760	25.920
	12.960	66.960	40.176	21.4272
	38.880	25.920	12.960	21.4272
